dataset,noise_type,noise_rate,method,accuracy,macro_f1,macro_precision,macro_recall,total_time_sec,method_time_sec,train_time_sec,epochs_ran,n_train_input,n_train_selected
covertype,random,0.30,cleancore,0.8102577341766706,0.6741849321706511,0.7733322877341635,0.632702394839959,107.460997402668,106.93412793055177,79.06022838875651,127.0,464807.0,23237.0
covertype,random,0.30,gradmatch,0.7814465814723979,0.5869343958590852,0.7129656107849055,0.5543698099286761,37.01337147504091,36.57595033571124,33.37197721377015,142.0,464807.0,12240.0
covertype,random,0.30,deem,0.7426960974140527,0.4906102029379766,0.6791747571143396,0.46682559633992404,307.9110747501254,307.4887222982943,22.805897664278746,52.0,464807.0,23240.0
covertype,shift,0.06,cleancore,0.8478378727249257,0.7719520755529966,0.8072723466558462,0.7461363221338723,110.67226739227772,110.2728971131146,94.78246099874377,180.0,464807.0,23240.0
covertype,shift,0.06,gradmatch,0.8136741104083302,0.6939540298342971,0.747588228379289,0.6686584610440712,44.169959258288145,43.74481211975217,39.555201418697834,180.0,464807.0,12240.0
covertype,shift,0.06,deem,0.6567445462759778,0.4922159933053232,0.5294453840691306,0.481888044875963,319.9493534080684,319.5285803601146,22.8305442109704,52.0,464807.0,23240.0
covertype,shift,0.12,cleancore,0.8392323910330881,0.7495586842995406,0.7773773765771257,0.7296174981820815,112.66458338499069,112.17506605386734,95.94422055780888,180.0,464807.0,23240.0
covertype,shift,0.12,gradmatch,0.806841357945011,0.6720336915533872,0.7275336299565228,0.6518538426798278,43.448726899921894,43.0425644852221,38.97424756735563,180.0,464807.0,12240.0
covertype,shift,0.12,deem,0.6725700271072673,0.49909300257408934,0.5387616823147778,0.4997715379044815,305.35575975850224,304.95885490626097,22.410002417862415,52.0,464807.0,23240.0
covertype,shift,0.18,cleancore,0.8287337033690461,0.7257875569272149,0.7772959372192183,0.6945154620690593,107.28232843801379,106.83191860467196,83.71763582155108,125.0,464807.0,23240.0
covertype,shift,0.18,gradmatch,0.7973925390473732,0.6563685774316479,0.7121185967759495,0.6362002403779699,40.13679452985525,39.75051470473409,36.08573090657592,161.0,464807.0,12240.0
covertype,shift,0.18,deem,0.6838862355320339,0.5028232548922239,0.5363604592747653,0.5028591104853316,311.6640008352697,311.26061648875475,22.080473378300667,52.0,464807.0,23240.0
